mcz,sex,mass,sl,jl,eye,ao,po,genus,diam,n
164262_1,F,0.9978,7.4,NA,3.046,NA,0.404,Photostomias,0.00137194047450661,89
164263_1,M,1.955,8.97,17.27,4.891,NA,1.028,Photostomias,0.00154400642608853,90
164263_3,F,3.4125,10.51,20.15,8.526,NA,0.994,Photostomias,0.00189553081960072,91
164264_1,F,0.9394,7.5,15.35,3.73,0.031,0.223,Photostomias,0.00127447863693232,92
164821_1,M,0.8748,7.2,14.07,3.104,0.03,0.532,Photostomias,0.00135285930417091,93
164821_2,F,3.4898,9.85,19.54,5.806,NA,1.007,Photostomias,0.00168669189985549,94
70584_1,M,1.3249,7.3,14.92,5.55,0.032,1.047,Photostomias,0.00149192835004473,95
70584_2,M,2.3079,8.7,16.74,6.649,0.049,1.426,Photostomias,0.00170885755399857,96
70587_1,M,1.801,8.21,NA,6.534,0.06,1.937,Photostomias,0.00192808179276256,97
131456,M,0.4581279477159537,5.3690448814095,10.91,2.813,NA,0.405,Photostomias,0.00127162762286894,98
131579,M,2.4865651220488574,9.320876921069331,17.82,11.755,0.042,1.091,Photostomias,0.00270783288031548,99
155700,M,3.765878488937752,10.62480992402511,20.1,15.813,0.082,1.923,Photostomias,0.00320616082178994,100
158775,M,3.029146565172341,9.921372382956864,18.87,8.826,0.192,2.313,Photostomias,0.00271362100399245,101
164805_1,M,0.526627514366509,5.626400079361297,11.36,3.492,0.012,0.324,Photostomias,0.00149133682515126,102
164805_2,M,1.2361231851786931,7.4507624826196,14.55,2.7,0.022,0.437,Photostomias,0.00143632532752273,103
131981,M,0.5298308366716341,5.637838088159156,11.38,2.451,0.018,0.26,Photostomias,0.00102585760161841,105
131650,M,0.2574041570737489,4.408252142389453,9.23,1.38,NA,0.442,Photostomias,0.00100380075648318,106
